hip,name,bayer,flamsteed
17678,,γ,
17702,Alcyone,η,25
17717,,τ⁷,28
17738,,ρ,
17771,,,30
17832,,,26
17847,Atlas,,27
17851,Pleione,,28
17886,,,42
17959,,γ,
18089,,,31
18141,,,30
18216,,τ⁸,33
18246,,ζ,44
18255,,,32
18453,,,43
18471,,,32
18485,,,33
18532,,ε,45
18543,Zaurak,γ,34
18597,,δ,
18614,Menkib,ξ,46
18673,,τ⁹,36
18724,,λ,35
18744,,γ,
18772,,ι,
18788,,,35
18907,,ν,38
18957,,,40
19009,,,36
19038,,,37
19076,,,39
19167,,λ,47
19171,,,41
19205,,ψ,42
19302,,,49
19335,,,50
19343,,,48
19388,,,43
19483,,,37
19513,,,44
19515,,δ,
19554,,,45
19587,Beid,ο¹,38
19719,,,46
19740,,,47
19747,,α,
19777,,,39
19780,Rhombus,α,
19811,,,52
19812,,μ,51
19849,Keid,ο²,40
19860,,μ,49
19877,,,48
19893,,γ,
19921,,ε,
19990,,ω,50
20020,,θ,
20042,,υ⁴,41
20049,,δ,
20087,,,51
20171,,,53
20186,,,56
20205,Prima Hyadum,γ,54
20215,,,55
20219,,,57
20250,,φ,52
20252,,,54
20261,,,58
20297,,ν,
20354,,,53
20384,,η,
20400,,,60
20430,,χ,59
20455,Secunda Hyadum,δ,61
20484,,,63
20507,,ξ,42
20522,,,66
20533,,,62
20535,Beemim,,43
20542,,,64
20579,,,55
20591,,,56
20635,,κ,65
20641,,,67
20648,,,68
20661,,,70
20711,,υ,69
20713,,,71
20732,,π,73
20789,,,72
20873,,,76
20877,,,75
20884,,,44
20885,,θ¹,77
20889,Ain,ε,74
20894,Chamukuy,θ²,78
20901,,,79
20995,,,80
21036,,,83
21039,,,81
21060,,δ,
21082,,,84
21109,Hoggar,,
21137,,,85
21139,,,45
21148,,,1
21242,,,57
21248,,υ¹,50
21273,,ρ,86
21278,,,46
21281,,α,
21296,,,47
21393,Theemin,υ²,52
21402,,,88
21421,Aldebaran,α,87
21444,,ν,48
21476,,,58
21515,,,49
21547,,,51
21588,,,89
21589,,,90
21594,Sceptrum,,53
21673,,σ¹,91
21683,,σ²,92
21727,,,3
21730,,,2
21735,,,93
21763,,,54
21770,,α,
21861,,β,
21881,,τ,94
21914,,λ,
21928,,,59
21949,,μ,
21961,,,95
21986,,,55
21998,,λ,
22024,,,56
22040,,κ,
22109,,μ,57
22263,,,58
22280,,ζ,
22287,,,4
22325,,,59
22441,,,96
22449,Tabit,π³,1
22453,,,1
22479,,,60
22488,,ν,
22491,Mouhoun,,
22509,,π²,2
22531,,ι,
22534,,ι,
22549,,π⁴,3
22565,,,97
22667,,ο¹,4
22678,,,2
22701,,ω,61
22730,,,5
22783,,α,9
22797,,π⁵,8
22833,,,6
22845,,π¹,7
22854,,,5
22871,,η,
22957,,ο²,9
22958,,,62
23015,Hassaleh,ι,3
23040,,,7
23068,,,99
23088,,,98
23123,,π⁶,10
23148,,ξ,
23179,,,4
23214,,,101
23216,,,8
23221,,,63
23231,,,64
23261,,,5
23268,,,6
23364,,ψ,65
23416,Almaaz,ε,7
23453,Saclateni,ζ,8
23467,,β,
23474,,,1
23482,,η¹,
23497,,ι,102
23522,,β,10
23595,,γ,
23596,,γ,
23607,,,11
23649,,η²,
23685,,ε,2
23693,,ζ,
23734,,,11
23743,,,12
23767,Haedus,η,10
23783,,,9
23794,,,66
23835,,,104
23852,,,13
23871,,,106
23875,Cursa,β,67
23879,,,14
23883,,,105
23900,,,103
23941,,,68
23972,,λ,69
23983,,,16
24003,Mago,,
24010,,,15
24244,,ι,3
24305,,μ,5
24327,,κ,4
24331,,ρ,17
24340,,μ,11
24348,,,14
24372,,θ,
24436,Rigel,β,19
24504,,,14
24512,,,108
24555,,,18
24608,Capella,α,13
24659,,ο,
24674,,τ,20
24727,,,16
24740,,,17
24813,,λ,15
24817,,,21
24822,,,109
24829,,ζ,
24832,,,18
24836,,,15
24845,,λ,6
24873,,ν,7
24879,,,19
25044,,,22
25048,,ρ,20
25098,,κ,
25142,,,23
25145,,,23
25192,,,22
25197,,,16
25202,,,8
25216,,,110
25247,,,29
25278,,,111
25281,,η,28
25282,,,27
25292,,σ,21
25302,,,25
25303,,θ,
25336,Bellatrix,γ,24
25410,,,113
25428,Elnath,β,112
25429,,λ,
25473,,ψ,30
25499,,,115
25539,,,114
25541,,φ,24
25555,,,116
25583,,,117
25606,Nihal,β,9
25695,,,118
25737,,,31
25769,,,17
25776,,,31
25813,,,32
25853,,,10
25859,,ε,
25861,,,33
25918,,γ,
25923,,υ,36
25930,Mintaka,δ,34
25945,,,119
25973,,,18
25984,,χ,25
25985,Arneb,α,11
26001,,,28
26064,,,120
26069,,β,
26093,,,35
26126,,,38
26176,,φ¹,37
26207,Meissa,λ,39
26220,,θ¹,41
26221,,θ¹,41
26224,,θ¹,41
26235,,θ²,43
26237,,,42
26241,Hatysa,ι,44
26248,,,121
26264,,ι,
26268,,,45
26311,Alnilam,ε,46
26366,,φ²,40
26380,Bubup,,
26382,,,122
26394,,π,
26408,,,19
26412,,ν¹,
26451,Tianguan,ζ,123
26460,,ν²,
26536,,,26
26549,,σ,48
26563,,,49
26587,,,22
26594,,ω,47
26634,Phact,α,
26640,,,125
26727,Alnitak,ζ,50
26777,,,126
26865,,,12
26885,,,51
26942,,,24
27046,,,23
27072,,γ,13
27100,,δ,
27196,,ο,27
27204,,μ,
27249,,,26
27265,,,129
27283,,,28
27288,,ζ,14
27316,,,131
27321,,β,
27338,,,130
27364,,,133
27366,Saiph,κ,53
27369,,λ,
27386,,,52
27468,,,132
27483,,τ,29
27511,,,134
27530,,γ,
27534,,ε,
27566,,κ,
27581,,,135
27592,,,29
27628,Wazn,β,
27639,,υ,31
27654,,δ,15
27658,,,55
27673,,ν,32
27731,,,30
27743,,,137
27750,,,56
27810,,λ,
27830,,,136
27890,,,36
27913,,χ¹,54
27949,,ξ,30
27965,,,57
27971,,,31
27989,Betelgeuse,α,58
28010,,ξ,
28098,,σ,
28103,,η,16
28199,,γ,
28237,,,139
28271,,,59
28296,,,60
28321,,,1
28325,,,2
28328,,η,
28358,,δ,33
28360,Menkalinan,β,34
28380,Mahasim,θ,37
28404,,π,35
28499,,,36
28561,,,141
28574,,,3
28614,,μ,61
28677,,,38
28691,,,64
28716,,χ²,62
28734,,,1
28756,,,72
28765,,,35
28812,,,63
28814,,,66
28816,,,17
28823,,,39
28909,,η¹,
28910,,θ,18
28946,,,40
28957,,π¹,
28969,,,2
29034,Elkurud,θ,
29038,,ν,67
29048,,,19
29064,,π²,
29134,,ν,
29225,,,3
29246,,,37
29271,,α,
29276,,δ,
29288,,,4
29353,,η²,
29379,,,5
29388,,,41
29426,,ξ,70
29433,,,68
29434,,,69
29450,,,6
29490,,,36
29550,Amadioha,,
29650,,,71
29651,,γ,5
29655,Propus,η,7
29696,,κ,44
29704,,,72
29730,,,40
29736,,,73
29789,,,8
29800,,,74
29807,,κ,
29840,,,9
29850,,,75
29884,,,42
29885,,,6
29919,,,1
29949,,,43
30003,,,10
30046,,,11
30049,,,12
30060,,,2
30073,,,7
30122,Furud,ζ,1
30247,,,45
30272,,,4
30277,,δ,
30278,,,3
30321,,π¹,
30324,Mirzam,β,2
30342,,ν,
30343,Tejat,μ,13
30419,,ε,8
30438,Canopus,α,
30520,,ψ¹,46
30565,,π²,
30679,,,5
30700,,,9
30717,,,77
30720,,,78
30756,,,15
30757,,,15
30769,,,16
30772,,,10
30788,,λ,
30827,,,48
30860,Lucilinburhuc,,
30867,,β,11
30883,,ν,18
30905,Lusitânia,,
30932,,,61
30972,,,47
31039,,,6
31105,,,19
31125,,ξ¹,4
31137,,μ,
31158,,,20
31159,,,12
31216,,,13
31359,,,7
31385,,,14
31416,,ξ²,5
31434,,,49
31525,,,23
31564,,ν¹,6
31592,,ν²,7
31665,,,11
31676,,,8
31681,Alhena,γ,24
31685,Pipit,ν,
31700,,ν³,8
31737,,,53
31771,,,51
31789,,ψ³,52
31832,,ψ²,50
31852,,,54
31895,Nosaxa,,
31897,,ζ,
31978,,,15
32019,,,25
32104,,,26
32173,,ψ⁴,55
32246,Mebsuta,ε,27
