open_ngc_name,English,French,Farsi,zh-CN
NGC6720,Ring Nebula,Nébuleuse de la Lyre,,指环星云
NGC6741,Phantom Streak Nebula,Nébuleuse de la Trace de fantôme,,幻影条纹星云
NGC6818,Little Gem Nebula,Nébuleuse de la Petite pierre précieuse,,小宝石星云
NGC6819,Foxhead Cluster,Amas de la Tête de Renard,,狐头星团
NGC6822,Barnard's Galaxy,Galaxie de Barnard,,巴纳德星系
NGC6826,Blinking Planetary,Nébuleuse clignotante,,闪视行星状星云
NGC6853,Dumbbell Nebula,Nébuleuse de l'Haltère,,哑铃星云
NGC6888,Crescent Nebula,Nébuleuse du Croissant,,新月星云
NGC6905,Blue Flash Nebula,Nébuleuse de l'Éclair bleu,,蓝闪星云
NGC6946,Fireworks Galaxy,Galaxie du Feu d'artifice,,烟花星系
NGC6960,"Veil Nebula, Filamentary Nebula, Western Veil",Nébuleuse du Balai de Sorcière,,面纱星云
NGC6992,"Eastern Veil, Network Nebula",Nébuleuse du Voile,,东面纱星云
NGC6995,"Eastern Veil, Network Nebula",Nébuleuse du Voile,,东面纱星云
NGC7000,North America Nebula,Nébuleuse de l'Amérique du Nord,,北美星云
NGC7009,Saturn Nebula,Nébuleuse Saturne,,土星状星云
NGC7023,Iris Nebula,Nébuleuse de l'Iris,,鸢尾星云
NGC7114,Schmidt's Nova Cygni,Q Cygni,,施密特新星
NGC7293,Helix Nebula,Nébuleuse de l'Hélice,,螺旋星云
NGC7635,Bubble Nebula,Nébuleuse de la Bulle,,气泡星云
NGC7662,Copeland's Blue Snowball,Nébuleuse de la Boule de neige bleue,,蓝雪球星云
B033,Horsehead Nebula,Nébuleuse de la Tête de Cheval,,马头星云
C009,Cave Nebula,Nébuleuse de la Grotte,,洞穴星云
C014,"Double Cluster, h & chi Persei",Double amas h et chi Persei,,双星团
C041,Hyades,Hyades,,毕星团
C099,Coalsack Nebula,Sac de charbon,,煤袋星云
Cl399,"Brocchi's Cluster, Al Sufi's Cluster, Coathanger Asterism",Amas du Cintre,,衣架星团
ESO056-115,"Large Magellanic Cloud, Nubecula Major",Grand Nuage de Magellan,,大麦哲伦云
ESO097-013,Circinus Galaxy,Galaxie du Compas,,圆规座星系
ESO270-017,Fourcade-Figueroa,Objet de Fourcade-Figueroa,,富尔卡德-菲格罗亚天体
ESO351-030,Sculptor Dwarf Elliptical,Galaxie naine du Sculpteur,,玉夫座矮星系
ESO356-004,Fornax Dwarf Spheroidal,Galaxie naine du Fourneau,,天炉座矮星系
HCG079,Seyfert's Sextet,Sextette de Seyfert,,赛弗特六重星系
HCG092,Stephan's Quintet,Quintette de Stephan,,斯蒂芬五重星系
Mel022,Pleiades,Pléiades,,昴星团
Mel111,Coma Star Cluster,Amas stellaire de la Chevelure,,后发星团
PGC000143,Wolf-Lundmark-Melotte Galaxy,Galaxie de Wolf-Lundmark-Melotte,,WLM星系
PGC029653,Sextans A,Galaxie du Sextant A,,六分仪座A
PGC088608,Sextans Dwarf Spheroidal,Galaxie naine du Sextant,,六分仪座矮球状星系
UGC05373,Sextans B,Galaxie du Sextant B,,六分仪座B星系
UGC05470,Leo I,Naine du Lion,,狮子座I星系
